pH,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,iron,manganese,zinc,copper,boron,molybdenum,chlorine,organic_matter,cation_exchange_capacity,base_saturation,soil_texture,disease_name
8.24,50.7,71.26,16.09,35.96,77.68,95.11,51.78,60.11,34.26,27.52,52.02,73.36,93.18,92.29,48.59,66.78,0.14,0.0
4.67,22.21,75.65,80.49,79.48,25.33,54.77,21.03,53.42,32.27,32.89,61.1,93.5,24.35,9.48,36.24,73.24,0.11,3.0
7.53,50.76,45.79,9.74,4.06,74.52,22.03,65.49,1.59,38.44,47.9,43.21,40.9,19.38,86.77,35.92,49.64,0.13,0.0
8.97,69.57,65.98,90.57,63.37,6.35,81.26,71.64,17.47,62.41,99.02,83.04,40.12,92.67,18.19,5.24,42.45,0.12,3.0
8.4,78.96,17.96,70.51,21.09,65.58,48.57,66.63,84.07,93.85,81.45,52.94,58.11,96.42,31.76,33.71,73.65,0.12,3.0
5.01,5.13,67.61,30.77,77.12,41.67,69.45,99.41,36.91,27.83,87.41,26.29,29.73,47.18,29.26,14.29,72.94,0.14,0.0
4.02,48.06,24.61,18.19,62.94,41.59,71.87,58.35,10.23,19.56,73.63,95.52,96.63,46.07,69.29,42.91,47.81,0.13,0.0
6.86,81.59,40.21,90.56,0.3,30.85,19.97,84.59,7.66,53.66,90.99,98.88,46.21,48.49,53.58,36.1,79.6,0.13,0.0
6.57,30.83,70.26,55.23,51.13,93.29,39.91,11.45,55.67,30.5,95.48,21.65,82.17,40.26,29.49,44.12,41.3,0.12,3.0
8.77,76.99,60.32,29.74,22.86,81.59,42.61,0.58,60.09,32.84,54.47,94.06,72.33,68.9,69.91,31.61,48.17,0.13,0.0
7.93,33.39,14.84,89.64,3.6,33.66,41.31,22.28,71.87,31.44,89.82,12.39,65.62,97.08,76.3,20.47,69.12,0.13,0.0
6.52,93.11,42.16,24.16,0.86,66.66,75.41,51.95,7.17,38.37,25.21,12.47,23.36,58.77,65.58,39.82,77.05,0.14,0.0
6.82,91.46,28.33,68.84,70.48,9.76,59.96,67.01,69.21,94.6,7.86,89.61,85.87,3.44,33.0,26.85,52.5,0.12,3.0
6.47,60.81,46.42,72.21,70.75,22.62,71.07,76.9,11.18,54.94,4.94,61.22,41.07,49.07,79.14,40.28,80.18,0.14,3.0
4.29,22.18,41.85,9.71,85.2,94.24,94.4,53.47,13.07,18.07,65.54,21.64,97.72,41.5,84.8,31.74,61.75,0.13,0.0
7.77,23.37,64.68,58.52,91.71,78.24,20.02,1.0,14.58,19.56,9.88,38.47,47.58,26.31,32.55,48.98,71.75,0.11,3.0
